Fecha,Chile,Mexico,Colombia,Brazil
1990-01-01,20.92559,7.776037,5.967753,0.005410857
1990-02-01,20.98727,7.95212,6.191108,0.009508499
1990-03-01,21.494,8.09231,6.372583,0.01734255
1990-04-01,21.8758,8.215471,6.547079,0.02003411
1990-05-01,22.20919,8.358838,6.679696,0.0215547
1990-06-01,22.69639,8.542938,6.805333,0.02408738
1990-07-01,23.07507,8.698735,6.89607,0.02719947
1990-08-01,23.53963,8.846951,7.007748,0.03070276
1990-09-01,24.69127,8.973062,7.175263,0.03512703
1990-10-01,25.63367,9.10206,7.31486,0.04017127
1990-11-01,25.8601,9.343723,7.461436,0.04692406
1990-12-01,25.99517,9.638214,7.649892,0.05557686
1991-01-01,26.10526,9.88388,7.880226,0.06710906
1991-02-01,26.13883,10.05643,8.152439,0.08101439
1991-03-01,26.44178,10.19984,8.354855,0.09067365
1991-04-01,26.92976,10.30669,8.592169,0.0951976
1991-05-01,27.60045,10.40744,8.780624,0.1022725
1991-06-01,28.10873,10.51665,8.92022,0.1137158
1991-07-01,28.6178,10.60958,9.080756,0.1278268
1991-08-01,28.96446,10.68342,9.192434,0.1478067
1991-09-01,29.34314,10.78985,9.33203,0.17091
1991-10-01,30.19184,10.91534,9.450687,0.2054843
1991-11-01,30.47058,11.18637,9.569345,0.2572875
1991-12-01,30.84536,11.44968,9.701962,0.3182887
1992-01-01,31.18499,11.65778,10.04397,0.4008537
1992-02-01,30.98902,11.7959,10.379,0.498341
1992-03-01,31.20607,11.91595,10.61632,0.6049874
1992-04-01,31.61676,12.02217,10.92343,0.7255614
1992-05-01,31.95484,12.10144,11.17471,0.9059362
1992-06-01,32.17424,12.18334,11.42598,1.089029
1992-07-01,32.53339,12.26027,11.65631,1.326764
1992-08-01,32.99796,12.33559,11.74007,1.62051
1992-09-01,33.76546,12.4429,11.83779,2.019641
1992-10-01,34.24798,12.53249,11.94249,2.529397
1992-11-01,34.73674,12.63662,12.02624,3.09826
1992-12-01,34.76095,12.81655,12.1449,3.88026
1993-01-01,34.81873,12.97732,12.53577,5.057917
1993-02-01,34.95927,13.08335,12.9406,6.321384
1993-03-01,35.15759,13.15959,13.1849,8.044595
1993-04-01,35.65025,13.23548,13.44315,10.27697
1993-05-01,36.17025,13.31114,13.65952,13.12266
1993-06-01,36.34905,13.3858,13.86892,17.06864
1993-07-01,36.70665,13.45012,14.04341,22.31213
1993-08-01,37.49054,13.52211,14.21791,29.66621
1993-09-01,37.927,13.62226,14.37845,40.25408
1993-10-01,38.90297,13.67797,14.532,53.90826
1993-11-01,38.93654,13.7383,14.72046,73.07805
1993-12-01,39.01384,13.84305,14.88797,100.0
1994-01-01,39.42062,13.95037,15.35562,141.31
1994-02-01,39.54321,14.02212,15.92099,198.22
1994-03-01,39.98825,14.09422,16.27696,282.96
1994-04-01,40.185,14.16325,16.66085,403.73
1994-05-01,40.75809,14.23168,16.9191,581.49
1994-06-01,40.97515,14.30289,17.07266,857.29
1994-07-01,41.22031,14.36633,17.22622,915.93
1994-08-01,41.67785,14.43329,17.39373,932.97
1994-09-01,41.88319,14.53594,17.58917,947.24
1994-10-01,42.1307,14.61225,17.7846,972.06
1994-11-01,42.38445,14.69036,17.98004,999.37
1994-12-01,42.50391,14.8192,18.25225,1016.46
1995-01-01,42.77328,15.37699,18.58728,1033.74
1995-02-01,42.98955,16.02871,19.24339,1044.28
1995-03-01,43.25189,16.97362,19.74593,1060.47
1995-04-01,43.51501,18.32613,20.18566,1086.24
1995-05-01,43.78126,19.09209,20.52069,1115.24
1995-06-01,44.10372,19.69802,20.77197,1140.44
1995-07-01,44.47225,20.09959,20.9325,1167.35
1995-08-01,45.20305,20.43298,21.06512,1178.91
1995-09-01,45.47164,20.85564,21.2466,1190.58
1995-10-01,45.82377,21.28476,21.43505,1207.37
1995-11-01,45.85656,21.80961,21.60257,1225.12
1995-12-01,45.98851,22.52017,21.80498,1244.23
1996-01-01,46.11422,23.32975,22.34941,1260.9
1996-02-01,46.35314,23.87426,23.24981,1273.89
1996-03-01,46.68965,24.39983,23.7384,1278.35
1996-04-01,47.1628,25.09345,24.20605,1294.46
1996-05-01,47.5446,25.55084,24.58295,1310.25
1996-06-01,47.74448,25.9669,24.86215,1325.84
1996-07-01,47.88346,26.33603,25.23906,1340.56
1996-08-01,48.08802,26.68607,25.51825,1346.46
1996-09-01,48.32304,27.11275,25.82537,1348.48
1996-10-01,48.66892,27.45117,26.11852,1352.53
1996-11-01,48.86099,27.86708,26.32791,1356.86
1996-12-01,49.03823,28.75934,26.52335,1363.24
1997-01-01,49.28573,29.49889,26.96308,1379.33
1997-02-01,49.6972,29.9946,27.80066,1386.23
1997-03-01,49.85336,30.36789,28.23341,1393.3
1997-04-01,50.0181,30.69597,28.69407,1405.56
1997-05-01,50.13366,30.97612,29.15474,1411.32
1997-06-01,50.25312,31.25096,29.51071,1418.94
1997-07-01,50.55606,31.52321,29.75501,1422.06
1997-08-01,50.7614,31.8035,30.09702,1421.78
1997-09-01,51.23299,32.19961,30.47393,1422.63
1997-10-01,51.86073,32.45694,30.76708,1425.9
1997-11-01,51.931,32.82004,31.01836,1428.32
1997-12-01,52.00283,33.27987,31.21379,1434.46
1998-01-01,52.36512,34.00393,31.77218,1444.64
1998-02-01,52.29719,34.59924,32.81217,1451.29
1998-03-01,52.50409,35.00453,33.67069,1456.22
1998-04-01,52.711,35.33204,34.64787,1459.71
1998-05-01,52.80704,35.61348,35.18531,1467.01
1998-06-01,52.9874,36.03442,35.61806,1467.3
1998-07-01,53.21382,36.38188,35.78558,1465.54
1998-08-01,53.39418,36.73163,35.79954,1458.07
1998-09-01,53.67292,37.32738,35.90424,1454.86
1998-10-01,54.10078,37.86227,36.02987,1455.15
1998-11-01,54.1531,38.53279,36.09269,1453.4
1998-12-01,54.42871,39.47297,36.42075,1458.2
1999-01-01,54.24757,40.46977,37.2304,1468.41
1999-02-01,54.28661,41.01364,37.85859,1483.83
1999-03-01,54.63171,41.39468,38.21456,1500.15
1999-04-01,54.83706,41.77458,38.51469,1508.55
1999-05-01,54.90186,42.02588,38.70315,1513.08
1999-06-01,54.97837,42.30201,38.80785,1515.95
1999-07-01,55.01663,42.58158,38.9265,1532.47
1999-08-01,55.12516,42.82125,39.12194,1541.05
1999-09-01,55.25008,43.23502,39.25455,1545.83
1999-10-01,55.44606,43.50885,39.38717,1564.23
1999-11-01,55.53897,43.89577,39.57563,1579.09
1999-12-01,55.68576,44.33552,39.78502,1588.56
2000-01-01,55.78336,44.93083,40.30153,1598.41
2000-02-01,56.0941,45.32938,41.22985,1600.49
2000-03-01,56.50245,45.58068,41.93481,1604.01
2000-04-01,56.77416,45.84002,42.3536,1610.75
2000-05-01,56.8944,46.01138,42.56997,1610.91
2000-06-01,57.02479,46.28392,42.56299,1614.62
2000-07-01,57.10052,46.46447,42.54903,1640.62
2000-08-01,57.24809,46.71978,42.68165,1662.11
2000-09-01,57.59632,47.06107,42.86312,1665.93
2000-10-01,57.94455,47.38514,42.92595,1668.26
2000-11-01,58.14052,47.79029,43.07252,1673.6
2000-12-01,58.2061,48.30767,43.26796,1683.47
2001-01-01,58.40208,48.57548,43.72165,1693.07
2001-02-01,58.2225,48.54333,44.55224,1700.86
2001-03-01,58.49968,48.85089,45.20835,1707.32
2001-04-01,58.7667,49.09731,45.72485,1717.22
2001-05-01,59.02201,49.20997,45.92029,1724.26
2001-06-01,59.05481,49.32636,45.94123,1733.23
2001-07-01,58.94081,49.1982,45.99009,1756.28
2001-08-01,59.41397,49.48969,46.10875,1768.57
2001-09-01,59.84964,49.95038,46.27626,1773.52
2001-10-01,59.93084,50.17614,46.367,1788.24
2001-11-01,59.92537,50.36515,46.41586,1800.94
2001-12-01,59.74033,50.4349,46.57639,1812.65
2002-01-01,59.69192,50.90047,46.94632,1822.08
2002-02-01,59.69739,50.86775,47.53961,1828.64
2002-03-01,60.01282,51.12795,47.87464,1839.61
2002-04-01,60.23612,51.40723,48.31437,1854.33
2002-05-01,60.29078,51.51143,48.60054,1858.22
2002-06-01,60.21426,51.76258,48.80994,1866.02
2002-07-01,60.48129,51.91118,48.81692,1888.23
2002-08-01,60.70927,52.10856,48.86578,1900.5
2002-09-01,61.22146,52.42198,49.04027,1914.18
2002-10-01,61.75473,52.65303,49.31947,1939.26
2002-11-01,61.70008,53.07888,49.69638,1997.83
2002-12-01,61.42759,53.30993,49.83598,2039.78
2003-01-01,61.48771,53.52544,50.4153,2085.68
2003-02-01,61.9835,53.67412,50.98067,2118.43
2003-03-01,62.70728,54.01293,51.51113,2144.49
2003-04-01,62.64716,54.10514,52.10442,2165.29
2003-05-01,62.40746,53.93056,52.35569,2178.5
2003-06-01,62.40746,53.97511,52.32777,2175.23
2003-07-01,62.35359,54.05334,52.251,2179.58
2003-08-01,62.45665,54.21549,52.41851,2186.99
2003-09-01,62.57611,54.53824,52.53019,2204.05
2003-10-01,62.47852,54.73821,52.56509,2210.44
2003-11-01,62.28801,55.19254,52.74656,2217.96
2003-12-01,62.08656,55.42981,53.06763,2229.49
2004-01-01,61.97257,55.77432,53.53528,2246.43
2004-02-01,61.97803,56.10794,54.17743,2260.13
2004-03-01,62.23882,56.29807,54.71487,2270.75
2004-04-01,62.46758,56.38303,54.95917,2279.15
2004-05-01,62.79395,56.2416,55.16856,2290.77
2004-06-01,63.06644,56.33175,55.50359,2307.03
2004-07-01,63.21323,56.47939,55.48964,2328.02
2004-08-01,63.45292,56.82804,55.50359,2344.08
2004-09-01,63.48571,57.29792,55.67111,2351.82
2004-10-01,63.67076,57.69475,55.66413,2362.17
2004-11-01,63.83394,58.1869,55.81769,2378.47
2004-12-01,63.59424,58.30709,55.9852,2398.92
2005-01-01,63.3928,58.30916,56.44587,2412.83
2005-02-01,63.33268,58.50343,57.0252,2427.07
2005-03-01,63.73557,58.76712,57.46493,2441.87
2005-04-01,64.30709,58.97641,57.7162,2463.11
2005-05-01,64.48121,58.82825,57.95351,2475.18
2005-06-01,64.74823,58.77178,58.18385,2474.68
2005-07-01,65.14565,59.0018,58.21177,2480.87
2005-08-01,65.33616,59.07225,58.21177,2485.09
2005-09-01,65.98342,59.30901,58.46304,2493.79
2005-10-01,66.3051,59.45458,58.59566,2512.49
2005-11-01,66.1466,59.88249,58.66546,2526.31
2005-12-01,65.92408,60.25031,58.70036,2535.4
2006-01-01,65.97795,60.60363,59.02143,2550.36
2006-02-01,65.91862,60.69636,59.40532,2560.82
2006-03-01,66.3051,60.77251,59.82411,2571.83
2006-04-01,66.72906,60.86162,60.09632,2577.23
2006-05-01,66.89224,60.59068,60.29176,2579.81
2006-06-01,67.28419,60.643,60.47323,2574.39
2006-07-01,67.64882,60.80929,60.72451,2579.28
2006-08-01,67.82839,61.11961,60.96182,2580.57
2006-09-01,67.83932,61.73661,61.13631,2585.99
2006-10-01,67.66521,62.00652,61.04558,2594.52
2006-11-01,67.55122,62.33186,61.19215,2602.56
2006-12-01,67.61681,62.69242,61.33175,2615.05
2007-01-01,67.82371,63.01621,61.7994,2626.56
2007-02-01,67.70894,63.19235,62.5253,2638.12
2007-03-01,67.99783,63.32911,63.2861,2647.88
2007-04-01,68.38899,63.29129,63.85147,2654.5
2007-05-01,68.81374,62.98253,64.04691,2661.93
2007-06-01,69.45631,63.05817,64.12368,2669.38
2007-07-01,70.24021,63.326,64.22838,2675.79
2007-08-01,71.00225,63.584,64.14462,2688.37
2007-09-01,71.80723,64.07771,64.19348,2693.21
2007-10-01,72.03053,64.32741,64.20046,2701.29
2007-11-01,72.57474,64.78122,64.50758,2711.55
2007-12-01,72.90656,65.04906,64.82166,2731.62
2008-01-01,72.88002,65.35056,65.50569,2746.37
2008-02-01,73.17359,65.54484,66.49683,2759.83
2008-03-01,73.78338,66.01989,67.03427,2773.08
2008-04-01,74.06602,66.17013,67.5089,2788.33
2008-05-01,74.92097,66.09863,68.13708,2810.36
2008-06-01,76.0367,66.37217,68.73037,2831.16
2008-07-01,76.89633,66.74206,69.05842,2846.16
2008-08-01,77.60918,67.12749,69.19104,2854.13
2008-09-01,78.43681,67.58494,69.05842,2861.55
2008-10-01,79.12779,68.04549,69.29574,2874.43
2008-11-01,79.02473,68.81894,69.49117,2884.78
2008-12-01,78.07764,69.29556,69.79829,2892.86
2009-01-01,77.48425,69.45615,70.21009,2906.74
2009-02-01,76.47529,69.6095,70.7964,2922.73
2009-03-01,76.50586,70.00995,71.15237,2928.57
2009-04-01,76.3912,70.25499,71.37572,2942.63
2009-05-01,76.22305,70.05036,71.38969,2956.46
2009-06-01,76.48293,70.17935,71.3478,2967.1
2009-07-01,76.15425,70.37051,71.31989,2974.22
2009-08-01,75.80264,70.53889,71.35478,2978.68
2009-09-01,76.66638,70.89272,71.27801,2985.83
2009-10-01,76.65874,71.10719,71.18029,2994.19
2009-11-01,76.35299,71.47604,71.13841,3006.47
2009-12-01,76.06253,71.77186,71.19425,3017.59
2010-01-01,76.46,72.55205,71.68284,3040.22
2010-02-01,76.67,72.97167,72.27612,3063.93
2010-03-01,76.74,73.48972,72.4576,3079.86
2010-04-01,77.09,73.25556,72.79263,3097.42
2010-05-01,77.37,72.79398,72.86941,3110.74
2010-06-01,77.37,72.77119,72.95316,3110.74
2010-07-01,77.87,72.92919,72.91827,3111.05
2010-08-01,77.79,73.13175,73.00202,3112.29
2010-09-01,78.1,73.51511,72.9043,3126.29
2010-10-01,78.18,73.96893,72.84149,3149.74
2010-11-01,78.23,74.56158,72.98109,3175.88
2010-12-01,78.33,74.93095,73.45571,3195.89
2011-01-01,78.54,75.29599,74.1188,3222.42
2011-02-01,78.72,75.57846,74.56551,3248.2
2011-03-01,79.32,75.72345,74.76792,3273.86
2011-04-01,79.57,75.71744,74.85866,3299.07
2011-05-01,79.89,75.15926,75.06805,3314.58
2011-06-01,80.03,75.15551,75.31235,3319.55
2011-07-01,80.13,75.51611,75.41705,3324.86
2011-08-01,80.26,75.63555,75.38912,3337.16
